,title,com_score,link,play,count,sub_subject,label,main_subject
0,【粤爱】赵粤×易嘉爱 花吻在上 亲吻那片花瓣,99533,http://www.bilibili.com/video/av6361904,0,2354,明星,赵粤 塞纳河 易嘉爱 SNH48 百合 粤爱 CP向 ,娱乐
1,【不可抗力】来自cp粉的脑洞 瑞文夫夫细思恐极的糖点分析 孟瑞 王博文,69429,http://www.bilibili.com/video/av6396113,30249,2873,明星,王博文 瑞文夫夫 污咚采访间 孟瑞 不可抗力 单纯娱乐向 ,娱乐
2,【凯源】非你莫属（160921小凯生日会糖点CUT）,64660,http://www.bilibili.com/video/av6402547,0,956,明星,凯源 王俊凯 王源 ,娱乐
3,【张艺兴】缠绵共舞不停歇 舞起腿来我还要,57650,http://www.bilibili.com/video/av6367822,38403,2022,明星,张艺兴 LAY Lay ,娱乐
4,【凯源】凯源式双标,55168,http://www.bilibili.com/video/av6406272,20482,1299,明星,KARROY 王炸 凯源 王俊凯 王源 双标宇宙 凯源双标 开元盛世 ,娱乐
5,【SNH48】【集体篡位】超速！超速！惊起一队抖M！ 许佳琪生诞祭+冷餐会 TeamSⅡ《心的旅程》全场(2016092,48435,http://www.bilibili.com/video/av6403138,0,0,明星,塞纳河 公演 SNH48 MC TeamSII 许佳琪生日公演 釜山行 心的旅程 安利 ,娱乐
6,张艺兴发型变化史,48211,http://www.bilibili.com/video/av6377069,21443,1335,明星,张艺兴综艺 张艺兴舞蹈 张艺兴极限挑战 张艺兴 lay 张艺兴cut ,娱乐
7,【青宇】两只东亚小醋王的吃醋合集 by 污里抖正经人,42759,http://www.bilibili.com/video/av6382272,0,240,明星,冯建宇 青宇 王青 饭制 告白气球 这酸爽无法想象 甜向 东亚醋王 ,娱乐
8,【快乐大本营】耿直科花式拆台 主持人无限尴尬,38144,http://www.bilibili.com/video/av6361360,0,257,明星,张继科 快乐大本营 谢娜何炅 ,娱乐
9,【泰国综艺】晚点睡 嘉宾 一年生 Krist Singto 中字,37108,http://www.bilibili.com/video/av6390711,23323,695,明星,晚点睡 Krist Singto 一年生 ,娱乐
10,【孟瑞王博文】用瑞文的方式打开【我想你永远不会知道】,36582,http://www.bilibili.com/video/av6390367,11239,457,明星,王博文 瑞文夫夫 我想你永远不会知道 孟瑞 不可抗力 ,娱乐
11,【张艺兴】带枪出巡2.0 （ps:务必戴耳机 18+可观看）,33440,http://www.bilibili.com/video/av6305280,0,3124,明星,我是你的谁 色气向 张艺兴 LAY 张艺兴带枪出巡 张艺兴快走 B站午夜小王子 ,娱乐
12,【张艺兴】美国绅士坚果直播全程：看张总如何撩妹,33245,http://www.bilibili.com/video/av6357051,52563,6592,明星,张艺兴 ,娱乐
13,【王博文】160924 北京发布会正面高清「W.BOWEN」（仰视）,32226,http://www.bilibili.com/video/av6406169,10439,1970,明星,王博文 王博文小白 龙日一你死定 北京发布会 王博文全新Ep W.BOWEN 我想你永远不会知道 星空下的秘密 不可抗力 ,娱乐
14,【张艺兴】在下艺兴 有何贵干 完整版,28203,http://www.bilibili.com/video/av6332340,58041,2626,明星,张艺兴舞蹈 张艺兴极限挑战 在下坂本有何贵干 张艺兴 LAY EXO 中二党的崛起 张艺兴无限挑战 张总能看系列 lay张艺兴 ,娱乐
15,【王博文】160924 爱豆专访直播,25817,http://www.bilibili.com/video/av6399951,0,1070,明星,王博文 王博文小白 W.BOWEN 我想你永远不会知道 星空下的秘密 ,娱乐
16, 【张艺兴／lay兴衍生】猎物Ⅱ: 困兽（ABO设定.慎入）,25096,http://www.bilibili.com/video/av6331473,32859,1073,明星,水仙向 张艺兴 LAY 张艺兴水仙向 lay兴 ,娱乐
17,杨洋 郑爽 私下是这样的,25015,http://www.bilibili.com/video/av6333249,21798,183,明星,高甜虐狗 微微一笑很倾城 郑爽 海报拍摄花絮 杨洋郑爽 杨洋CUT ,娱乐
18,【易烊千玺】0925美拍直播全程,24392,http://www.bilibili.com/video/av6415825,8741,1391,明星,TFBOYS 易烊千玺 美拍直播 ,娱乐
19,【BLOWBUBBLES】160921王俊凯生日会 方圆几里,24374,http://www.bilibili.com/video/av6403437,6647,683,明星,王俊凯 TFBOYS ,娱乐
20,【李艺彤】极乐净土【中文翻唱\/翻跳】,24356,http://www.bilibili.com/video/av6292447,256159,11672,明星,极乐净土 SNH48 古装 发卡 翻唱 天草 王晓佳 塞纳河 曾艳芬 李艺彤 宅舞 小王爷李艺彤 ,娱乐
21,【SNH48】160922 狼自到底跳不跳？叉叉百场七期首秀 TeamNII专属派对公演全场CUT合辑,24315,http://www.bilibili.com/video/av6376461,0,8444,明星,SNH48 赵粤 万丽娜 冯薪朵 曾艳芬 易嘉爱 陆婷 ,娱乐
22,【王俊凯】【17岁生日会】启航生日会（完整版+分P）,24075,http://www.bilibili.com/video/av6363891,0,2952,明星,TFBOYS王俊凯 王俊凯 TFBOYS 王俊凯17岁生日会 ,娱乐
23,【秒拍娱乐】160925孟瑞王博文秒拍娱乐专访,23459,http://www.bilibili.com/video/av6409731,9237,1177,明星,王博文 瑞文 秒拍娱乐 孟瑞 虐狗大戏 不可抗力 ,娱乐
24,【凯源】王俊凯17岁生日会 凯源糖点解析,23382,http://www.bilibili.com/video/av6366874,23614,1078,明星,王炸 凯源 ,娱乐
25,【AB向歌唱对决】张彬彬VS郑业成【奶音与攻音的福利】,22888,http://www.bilibili.com/video/av6321744,40341,2755,明星,郑业成 张彬彬 耳机党福利 耳朵怀孕 总攻未成年 AB对决 ,娱乐
26,【凯源】说走就走,22383,http://www.bilibili.com/video/av6417267,8440,298,明星,凯源 王俊凯 王源 说走就走 ,娱乐
27,【王博文】160924 王博文全新EP「W.BOWEN」新闻发布会（粉丝网）,22332,http://www.bilibili.com/video/av6400159,8585,1447,明星,王博文 王博文小白 王博文全新Ep 「W.BOWEN」 我想你永远不会知道 星空下的秘密 不可抗力 新闻发布会 ,娱乐
28,井柏然参加乔任梁告别会 此生一别再无相会,21927,http://www.bilibili.com/video/av6373531,29814,87,明星,井柏然 乔任梁 乔任梁去世 ,娱乐
29,【张艺兴】Lay蛋蛋的口误集锦（四）,21689,http://www.bilibili.com/video/av6351966,17960,225,明星,张艺兴 娱乐 搞笑 口误 ,娱乐
30,【极挑】搞事情了搞事情了,21220,http://www.bilibili.com/video/av6380905,0,174,明星,张艺兴极限挑战 极限挑战 孙红雷 罗志祥 臭不要脸 ,娱乐
31,【张艺兴】蛋蛋为鸡条写的极限挑战之歌（好听＋感动）,20876,http://www.bilibili.com/video/av6360493,12591,126,明星,极限挑战 张艺兴 ,娱乐
32,【张艺兴】Dancing King饭拍多机位混剪Lay Focus,20690,http://www.bilibili.com/video/av6324565,37907,821,明星,张艺兴舞蹈 张艺兴 LAY 张艺兴舞蹈杀 主舞张艺兴 ,娱乐
33,鹿晗 清唱&现场合集[制作：穎兒eer]禁转载及二传,20604,http://www.bilibili.com/video/av6380263,9096,748,明星,鹿晗 鹿晗CUT ,娱乐
34,郑业成最想毁掉的直播：一场充满味道的单口相声，一个让女友粉跪求分手的打嗝小王子,20409,http://www.bilibili.com/video/av6348334,29970,3330,明星,全程高能 京剧 单口相声 直播 郑业成 画江湖之不良人 搞笑 戏曲 吐槽 武生 ,娱乐
35,【SNH48】代表作未入选但是聚聚却提名的歌曲（马鹿黄粤糖兰）,19725,http://www.bilibili.com/video/av6380370,8218,1334,明星,TEAM NⅡ 冯薪朵 黄婷婷 罗兰 SNH48 陆婷 赵粤 剧场女神 唐安琪 虫之诗 ,娱乐
36,【刺客列传】【执离】朱戬x查杰 直播高糖混剪详细版（片尾再一盆执离炸猪混合狗粮）,19070,http://www.bilibili.com/video/av6310060,40775,1086,明星,耽美向 舔屏向 直播 执离夫夫 执明x慕容离 朱戬 查杰 刺客列传 甜向 腐向 ,娱乐
37,【刺客列传】【查杰】查杰直播搞笑混剪,18478,http://www.bilibili.com/video/av6370961,0,447,明星,搞笑视频 查杰直播 刺客列传直播 ,娱乐
38,【刺客列传\/查杰】【有毒向】想听查杰骂人？？（附朱戬彩蛋）,17883,http://www.bilibili.com/video/av6364244,15703,144,明星,查杰直播 执离 朱戬 查杰 ,娱乐
39,【杨洋】【水仙】神话（三公主\/刘海张×一笑奈何）,17271,http://www.bilibili.com/video/av6375859,0,481,明星,一笑奈何 肖奈 微微一笑很倾城 杨洋 三公主 水仙 刘海张 ,娱乐
40,【ARASHI】自带放送事故的山风团②,17013,http://www.bilibili.com/video/av6405686,6866,134,明星,岚的宿题君 相叶雅纪 大野智 二宫和也 松本润 樱井翔 vs岚 arashi ,娱乐
41,【SpeXial】老司机SpeXial的和谐号之旅（开车高能！）刺客列传相关,16969,http://www.bilibili.com/video/av6403411,8324,931,明星,洪荒之力 spexial 好荒唐哦 清纯白莲花 吹箫的动作 最后都在床上 按屁股？下流 史上最帅高中生 情迷意乱 刺客列传 ,娱乐
42, 囧瑟夫会成为最佳男友的5大原因（2016混剪）@柚子木字幕组,15823,http://www.bilibili.com/video/av6393328,10679,72,明星,柚子木字幕组 YOUTUBE ,娱乐
43,【凯源】我在你转身后,15776,http://www.bilibili.com/video/av6411346,6481,178,明星,王源 TFBOYS 王俊凯王源 凯源 王俊凯 凯源KARROY KARROY 生命的真谛 凯源盛世 ,娱乐
44,【晏紫东】粉丝网直播完整版-幽默机智套路王 原来你是这样的晏紫东,15544,http://www.bilibili.com/video/av6379530,8942,1096,明星,陶墨 顾射 晏紫东 蒋梓乐 识汝不识丁 ,娱乐
45,易烊千玺夏日甜心跷跷板游戏未播片段小集锦,15322,http://www.bilibili.com/video/av6390200,0,175,明星,易烊千玺 跷跷板游戏 未播片段 ,娱乐
46,【易烊千玺】160925易烊千玺美拍直播全程,15165,http://www.bilibili.com/video/av6419977,3683,676,明星,TFBOYS 易烊千玺 美拍直播 美拍 ,娱乐
47,陈佩斯评中国好声音，导师的演技都不错。,14633,http://www.bilibili.com/video/av6351107,0,126,明星,陈佩斯 ,娱乐
48,【刺客列传\/朱戬查杰】糖苹果focus 0917郑州高甜合集（执离太甜了）,14034,http://www.bilibili.com/video/av6344749,0,636,明星,0917郑州 执离 朱戬 查杰 刺客列传 ,娱乐
49,【千凯千】 红往的烦恼  【AB向】【自然糖TOP合集】【多怀旧】,13793,http://www.bilibili.com/video/av6354931,0,2572,明星,千凯千 千凯 凯千 921生日快乐永远开心 个人萌点回忆 千凯千强强联萌 醉卧红尘忆往昔 ,娱乐
50,识汝不识丁0923粉丝网（蒋梓乐 晏紫东 卢卓 刘亦宸）,13735,http://www.bilibili.com/video/av6397895,0,593,明星,识汝不识丁网络剧 卢卓 刘亦宸 晏紫东 蒋梓乐 识汝不识丁 粉丝网 ,娱乐
51,【杨洋×迪丽热巴】【洋迪】微微一笑很倾城加长版,13435,http://www.bilibili.com/video/av6185542,150058,3391,明星,大神 微微一笑很倾城 迪丽热巴 杨洋 肖奈 天外谪仙人×人间富贵花 胖迪一笑很倾城 原著向 贝微微 一笑倾城 违和感下线 ,娱乐
52,【陈伟霆×赵丽颖】爱你，爱久见人心（完整版\/八分钟粉红合集）,13375,http://www.bilibili.com/video/av6348230,0,221,明星,启月 颖霆 陈伟霆 蜀山战纪 老九门 赵丽颖 隐玉 ,娱乐
53,【鹿晗】百鬼夜行,13179,http://www.bilibili.com/video/av6384646,7081,150,明星,鹿晗 阴阳师 百鬼夜行 ,娱乐
54,第三届SNH48年度总决选汇报EP《公主披风》同名主打曲音源发布,13092,http://www.bilibili.com/video/av6370573,17447,1867,明星,SNH48 ,娱乐
55,【李易峰】喵喵侠,12920,http://www.bilibili.com/video/av6412114,3815,598,明星,电视剧麻雀 李易峰 猫片 麻雀 喵喵侠 陈深 ,娱乐
56,【千凯千】【谌夏】校园系列续作+小彩蛋,12832,http://www.bilibili.com/video/av6391182,4525,315,明星,红尘往昔 QKQ 千凯千 ,娱乐
57,【杨洋郑爽】杨洋采访有关小爽合集,12822,http://www.bilibili.com/video/av6426530,8375,381,明星,采访访谈 倾城夫妇 杨洋郑爽 ,娱乐
58,【张艺兴】20160813smt自我介绍（老张的人气和樱花妹的呐喊）,12743,http://www.bilibili.com/video/av6392815,10544,32,明星,张艺兴个人CUT 张艺兴 LAY 张艺兴个人向 lay张艺兴 ,娱乐
59,【李艺彤】极乐净土(中文翻唱\/翻跳)(字幕版),12613,http://www.bilibili.com/video/av6329370,17569,146,明星,极乐净土 发卡 翻唱 李艺彤 SNH48 古装 塞纳河 SNH48李艺彤 宅舞 中秋古装特别公演 ,娱乐
60,【王青冯建宇】【Spicy__Chicken】另一半——今夏庆生视频,12421,http://www.bilibili.com/video/av6367066,12466,986,明星,冯建宇 青宇 王青 今夏 ,娱乐
61,成都握手会 搞事情的男粉 小白的表情亮了 王博文 孟瑞,12204,http://www.bilibili.com/video/av6363480,12423,42,明星,王博文 成都 成都握手会 孟瑞王博文 搞事情 孟瑞 男粉 ,娱乐
62,【鹿晗\/超燃\/古风】俯首称臣 风华绝伦【控几不住的洪荒之力！！！】,12043,http://www.bilibili.com/video/av6340665,8067,124,明星,陈长生 古风 择天记 LUHAN 鹿晗 阿婆主被炸上天 超燃打戏 达令渣剪 舔舔舔 俯首称臣 ,娱乐
63,【色气向】【刺客列传】【查杰】威风堂堂（朱戬勿点）,11846,http://www.bilibili.com/video/av6358772,7936,127,明星,朱戬查杰 阿离 执明x慕容离 执离 朱戬 查杰 慕容离 执明 刺客列传 ,娱乐
64,【张艺兴】甜菜开关完整版—听说最近盐党们HIN嚣张【素材来自近两个月】,11816,http://www.bilibili.com/video/av6355567,8444,216,明星,甜菜 张艺兴 lay 甜菜即是正义 甜菜永远都在 酒窝不会不在 即使狼奔也一样是甜菜 听说最近盐党们很嚣张 yixing ,娱乐
65,【杨洋】 【羊圈影业】AWAKENING（PV）  [杨洋X刘亦菲],11736,http://www.bilibili.com/video/av6392449,5761,99,明星,杨洋 羊圈影业 ,娱乐
66,【张艺兴】20160917 无限挑战 张艺兴 cut,11459,http://www.bilibili.com/video/av6322104,77213,720,明星,EXO LAY 张艺兴 无限挑战 跳舞 CUT版 ,娱乐
67,160924【陈伟霆】Hello女神  清唱《喜欢你》（黑凤梨）上帝+房间 直播双视角,11126,http://www.bilibili.com/video/av6409155,6595,230,明星,陈伟霆 喜欢你 黑凤梨 ,娱乐
68,【王青】0923期王青超级大首映未播+现场自录片段   粉粉的小奶青,11082,http://www.bilibili.com/video/av6387683,4626,288,明星,青宇 王青 ,娱乐
69,【凯源】那些下意识的小动作,11062,http://www.bilibili.com/video/av6301008,17606,223,明星,凯源饭制 凯源 ,娱乐
70,【snh48】盘点塞纳河那些动人的情话,11034,http://www.bilibili.com/video/av6357437,6452,487,明星,航兽 卡黄 肖钱 七五折 粤糖 戴莫 马鹿 卡娜 ,娱乐
