,title,com_score,link,play,count,sub_subject,label,main_subject
0,直播穿女装时又被老妈抓了……名侦探柯妈~B站就服自己,1609811,http://www.bilibili.com/video/av6375191,1560392,46144,日常,羞耻 绝望 变态 女装 女孩子的裙底下到底有什么？？ 用生命在直播 跳进黄河洗不清 被抓 丧心病狂 生无可恋 论锁门的重要性 老妈 ,生活
1,当色盲患者第一次见到彩色的世界……@柚子木字幕组,676707,http://www.bilibili.com/video/av6396717,0,2858,日常,YOUTUBE 人比弹幕多 柚子木字幕组 蜜汁感动 科普 未来科技 Enchroma 彩色世界欢迎你 色盲 科技以人为本 ,生活
2,武术家示范如何在一秒内连击对手100下,425071,http://www.bilibili.com/video/av6377356,0,1627,搞笑,咏春 搞笑视频 低配置李小龙 玛德阿库亚 感觉智商受到了侮辱 ,生活
3,“在下陈坤，有何贵干？”,351144,http://www.bilibili.com/video/av6395905,306149,5446,搞笑,九命猫 坤哥 陈坤 混元霹雳手陈坤 在下陈坤 FGO公测发布会 陈坤采访 有何贵干 ,生活
4,教你做越南河内炸春卷丨绵羊料理,275376,http://www.bilibili.com/video/av6408233,112514,613,美食圈,绵羊料理 原创 料理制作 制作教程 厨艺 烹饪 自制 肥羊料理 ,生活
5,【古踢】明星撞脸到这个程度，路人纷纷被逼疯了,241427,http://www.bilibili.com/video/av6366628,227306,1970,搞笑,古踢 恶搞 古踢大贱人 踢哥 明星 脸盲 套路 撞脸 ,生活
6,papi酱的周一放送——我待生活如初恋，生活待我如大便,238436,http://www.bilibili.com/video/av6426665,269912,3311,搞笑,搞笑 吐槽 小咪可爱 看标题笑哭 迷之对视 周一放送 papi papi酱 干了这碗鸡汤 墨菲定律 第一世界问题 ,生活
7,【日本百合2】百合女的福利！本片全程高能！非战斗人员请迅速撤离！,228186,http://www.bilibili.com/video/av6333664,206433,743,日常,日本 百合 BGM 棒 百合大法好 ,生活
8,【角虫繁殖计划】从0开始，成为up主~【绘画篇-素描基础】,226609,http://www.bilibili.com/video/av6381559,62844,2171,绘画,小熊绅士 水彩 手绘 绘画 角虫繁殖计划 ,生活
9,【Co视】论成都cos股市行情【成都漫展CD18】,169318,http://www.bilibili.com/video/av6392225,89802,4927,日常,CO视 日常 漫展 不是污视吗？ B站爸爸 cosplay H视 招生办の阴谋 ,生活
10,【LifeHacks】每个女孩都应该知道的17个偏门时尚小技巧@油兔不二字幕组,158014,http://www.bilibili.com/video/av6350082,0,1711,日常,小技巧 日常 Youtube 弹幕更有用系列 油兔不二字幕组 ,生活
11,【Kat & Sid】中国崛起: 华人在美国地位?,153478,http://www.bilibili.com/video/av6370482,127855,5484,日常,中国崛起 美国 中国 老外 中国男生 白人男生 亚洲女生 Rise of China katandsid 中国女生 ,生活
12,专业的就是不一样剖椰子就像切豆腐,145091,http://www.bilibili.com/video/av6364118,0,1806,美食圈,手速高能 椰子 ,生活
13,【重口福利】小强种太阳,143662,http://www.bilibili.com/video/av6344336,145805,1305,动物圈,BGM的重要性 强迫症 有毒 毁童年 感人 辣眼睛 BGM好评 重口 丧心病狂 福利向 小强 种太阳 ,生活
14,【桐崎荣二】调戏睡着的妹妹(长见识了),142863,http://www.bilibili.com/video/av6365510,149981,705,搞笑,桐崎荣二 妹妹 生肉求野生字幕君 youtube搬运工 ,生活
