,title,com_score,link,play,count,sub_subject,label,main_subject
0,徐老师来巡山83：大龙神秘被抢 凶手竟然是？！,476862,http://www.bilibili.com/video/av6388107,650804,7036,网游·电竞,LOL 搞笑 徐老师 巡山 逗比 英雄联盟 徐老师来巡山 游戏集锦 B站看不见脸的男人 ,游戏
1,【C菌】最辣鸡恐怖游戏!! 那些最恐怖的游戏集合【第33期】,433848,http://www.bilibili.com/video/av6393106,352416,25670,单机联机,B站三怂 恐怖游戏集合 渗透之C君 结尾彩蛋 把自己鬼畜了 c菌的量词有毒 c菌叫声吓死人系列 游戏没UP吓人系列 下楼梯模拟器 噗哈哈哈 日常快进23333 量词破碎 ,游戏
2,【官方回播】《Fate\/Grand Order》公测发布会,361358,http://www.bilibili.com/video/av6385671,222853,5948,网游·电竞,陈坤 我坤盛世美颜 ios版本9月29日 公测发布会 命运-冠位指定 Fate/GO Fate/Grand Order fgo ,游戏
3,【敖厂长】抽风扯蛋游戏,356631,http://www.bilibili.com/video/av6384185,694881,8271,单机联机,防不胜防 安卓 敖厂长 手机游戏 吐槽 敖敖的零 感觉防不胜防 僵尸漫步 优酷 ,游戏
4,【主播真会玩】57：老冰鸟冻结“卢本伟”强行改名！,318114,http://www.bilibili.com/video/av6378813,739795,5044,网游·电竞,主播真会玩 起小点 搞笑 集锦 卢本屎 起小点永不为奴 长歌是大腿 是大腿 相声二人组 ,游戏
5,【老E】所以说恐怖游戏什么的最讨厌了(?д?;),298580,http://www.bilibili.com/video/av6380138,524371,7475,单机联机,老E 老板最可耐了 李这样会失去我的 李爸爸保护协会 b站3怂 是新的玩法吗？ 老鹅宝宝 恐惧地狱 冰淇淋人 ,游戏
6,【那些游戏里的人#13】现代战争——幽灵,282796,http://www.bilibili.com/video/av6391189,177147,1383,单机联机,现代战争 使命召唤 满分作文系列 幽灵 ,游戏
7,守望先锋【午时已到】第12期：瑟瑟发抖的LAOX,261019,http://www.bilibili.com/video/av6406308,0,1851,网游·电竞,炮炮 逗鱼时刻 守望先锋 游戏集锦 精彩集锦 天天卡牌 LaoX pig 午时已到 老李 ,游戏
8,【小绝】冻住，不洗澡！发挥还不错的两局小美  守望先锋,223817,http://www.bilibili.com/video/av6386740,267051,1980,网游·电竞,守望先锋 小绝 yaoyao 他们用的是yy pigff 麦克美 老孟 小伟 老李 NT ,游戏
9,【史丹利快报第三季】05团长我无需求，先下线了,218490,http://www.bilibili.com/video/av6376730,496704,6614,网游·电竞,史丹利快报 屎蛋 原创 暴白集体现身 幼年温斯顿 最后一期系列 破节目吃枣药丸 每周四更新 ,游戏
10,主播炸了120：PDD骚话连篇还是翻车 国服第一哥弟内讧,210500,http://www.bilibili.com/video/av6395319,258018,1388,网游·电竞,英雄联盟 主播炸了 聚印象 高产如母猪 无敌高产のUP ,游戏
11,【守望先锋】神级cos,191231,http://www.bilibili.com/video/av6355655,0,0,,,游戏
12,起小点TOP10 VOL234 敏锐疾行！战争女神的极限狩猎,181829,http://www.bilibili.com/video/av6405736,223346,1179,网游·电竞,英雄联盟 英雄时刻 精彩集锦 我上我也行 起小点永不为奴 长歌是大腿 你就 TOP10 嘴强王者 ,游戏
13,努巴尼欢乐秀35：为什么麦克雷如此孤单？,172845,http://www.bilibili.com/video/av6393568,0,1095,网游·电竞,守望先锋 暴雪游戏 overwatch 努巴尼欢乐秀 努巴尼守望先锋 ,游戏
14,【抗韩中年人】90期.史上最强套路，打到对面删号！,170500,http://www.bilibili.com/video/av6368844,397360,4311,网游·电竞,抗韩中年人 笑笑 七号 英雄联盟 猫片 本尊来袭 欢迎七叔 恭喜秃秃订婚 素质最高上一期 最污中年人 塞恩 复仇之矛 ,游戏
15,【右小死】幕外战争第二季：消失的尊严,169145,http://www.bilibili.com/video/av6379493,184107,3717,网游·电竞,独立游戏 消失 制作人 幕外战争 右小死 韭菜论 幕外战争2 玩家权益 暗改 看前先投币系列 尊严 诈尸 ,游戏
16,【暴走玩啥游戏第二季】03热血传奇 姑娘请留步，我们好像见过,163440,http://www.bilibili.com/video/av6395890,0,2236,网游·电竞,暴走出品 暴走漫画 原创 暴走玩啥游戏第二季 暴走黑啥游戏 ,游戏
17,【六道直播】校园暴力题材！不合群的少女,161046,http://www.bilibili.com/video/av6373908,0,0,单机联机,教育向 解说 失踪人口の回归 土豆六道 橙光游戏 存档狂魔 蜜汁广播腔 不合群的少女 直播录屏 校园暴力 高产帝 ,游戏
18,【FA主播粗事了】56_笑笑骚气宅舞助兴“下鸡无敌术”！,150281,http://www.bilibili.com/video/av6388096,199203,1804,网游·电竞,FA主播粗事了 英雄联盟 坑爹 搞笑 游戏集锦 笑笑 逗比 董弱鸡 PDD fallenangel ,游戏
19,Bloodshot丨这些影子人怎么没完没了了！,137146,http://www.bilibili.com/video/av6399322,132499,3612,单机联机,恐怖游戏 中国BOY 高产似母那啥 每日一嗝 ,游戏
20,王老菊带你永恒空间,133345,http://www.bilibili.com/video/av6374713,0,6458,单机联机,王老菊 老坑未完新坑又开 太阳警察局完结了 太阳空间帝国 警察局亡了 癌细胞羞愧低头 迷之更新 太空菊 ,游戏
21,【骚男合集9.24】门牙没了对面一塔未破也能翻盘+克隆大作战布隆五杀,130682,http://www.bilibili.com/video/av6401065,164740,6117,网游·电竞,弟弟救我 主播真会玩 第一视角 男刀 国服第一 骚男 英雄联盟 刀锋 史诗翻盘 ,游戏
22,当Dva炸掉1000个狂鼠夹子,123365,http://www.bilibili.com/video/av6362520,153883,248,网游·电竞,D.VA 守望先锋 狂鼠 ,游戏
23,【某幻】杀死十二个混蛋,120943,http://www.bilibili.com/video/av6385081,117735,1920,单机联机,迷之感动 灵魂画师 某幻君 克苏鲁 迷之高产 灵魂画手 数学老师：喵喵喵？！ 数学老师到底什么梗 爷爷的关注列表 最强起名王 暗黑地牢 ,游戏
24,陆夫人带你遛——TGS2016,106748,http://www.bilibili.com/video/av6410724,82057,3984,单机联机,神奇陆夫人 独立游戏 东京电玩展 神奇陆后期 TGS2016 孤独的陆夫人 ,游戏
25,恐怖&吐槽！鬼宅作大死！用手电筒单刷超自然庄园【诅咒Curse】P1,90773,http://www.bilibili.com/video/av6400378,66849,2812,单机联机,穿胖次的狐狸 恐怖游戏 搞笑 吐槽 是谁，在敲打我窗 ,游戏
26,起小D守望Top10 VOL18：重力喷涌的另类奥义-地爆天星！,89899,http://www.bilibili.com/video/av6402177,103179,755,网游·电竞,守望先锋 解说 集锦 起小D是大腿 TOP10 ,游戏
27,【散人】黑暗关终极合作 蠢绿傻紫最后的冒险,89087,http://www.bilibili.com/video/av6381579,0,4296,单机联机,精分现场 友尽 逍遥散人 散人 卢散 黑暗双人关 散卢 kalimba 友尽的游戏 友尽游戏 ,游戏
28,【Dota中文字幕】冰蛙(Icefrog)的个人历史 [Pendragon事件第二部],88846,http://www.bilibili.com/video/av6378219,79194,900,网游·电竞,LOL Pendragon事件 av6288114 Dota Alls Pendragon Icefrog JinZo Riot Dota Dota2 +1s 冰蛙 ,游戏
29,超级马里奥windowsXP版丨抽风试玩,87625,http://www.bilibili.com/video/av6389217,91139,723,单机联机,抽风解说 抽风 实况解说 超级马里奥 独眼先辈 ,游戏
30,以撒睡前故事一则——打倒坏蛋绝招的是pi冲击,87226,http://www.bilibili.com/video/av6406265,87450,2282,单机联机,失踪人口回归系列 以撒 以撒的结合 封面的夫人不见了！233 以撒新玩法 萌神pi~ 我不会再大喊大叫了 少年Pi 萌神PI ,游戏
31,守望先锋懵逼时刻第十五期：路霸与天使相亲相爱之后居然相杀！,87182,http://www.bilibili.com/video/av6378777,86163,1320,网游·电竞,守望先锋 趣味视频 结尾高能 懵逼时刻q 不给封面就举报 守望屁股 辣眼睛 ,游戏
32,袖剑之下众生平等——刺客信条CG混剪,80484,http://www.bilibili.com/video/av6382550,0,650,GMV,AMV 多素材 单机游戏 全程高能 刺客信条 原创 混剪 Centuries 要啥没啥爱咋咋地 机智的废柴君 刺客信条GMV 混剪处女作 ,游戏
33,崩坏学园3rd调戏琪亚娜被踢下线,79948,http://www.bilibili.com/video/av6342031,81937,328,网游·电竞,崩坏学园3RD ,游戏
34,【尚在天国EX】TGS东京游戏展2016展后试玩报告Part.1【参展厂商篇】,77891,http://www.bilibili.com/video/av6404807,40341,735,单机联机,东京游戏展 SE TGS 最终幻想 konami 卡普空 ,游戏
35,【某阳】守望学院之76篇，核心思路教学,76163,http://www.bilibili.com/video/av6402712,60015,1146,网游·电竞,守望先锋 overwatch 某阳 守望先锋学院 ,游戏
36,某主播第一次玩恐怖游戏，吓到失禁，娇喘福利？？脑都在颤抖！~,67052,http://www.bilibili.com/video/av6120088,88406,1408,单机联机,B站第4怂 TIMORE NOX ,游戏
37,吊带黑丝【PV】Hand in Hand【初音ミク 甜美恶魔】,64964,http://www.bilibili.com/video/av6400576,20536,180,音游,初音社 黑丝吊带 歌姬计划 初音ミク ,游戏
38,新英雄“森林之友-艾翁”打野实战，很变态 -英雄联盟（2）,64581,http://www.bilibili.com/video/av6365742,85693,1753,网游·电竞,英雄联盟 森林之友-艾翁 新英雄 ,游戏
39,岛国终于开始使用VR来制作羞羞dai~游戏了,64532,http://www.bilibili.com/video/av6348742,61443,348,单机联机,PS4 VR 日本 预告 游戏脚本 羞羞 岛国 ,游戏
40,[守望先锋]心跳先锋物语—初入花村(逗川),62945,http://www.bilibili.com/video/av6425802,58980,1353,网游·电竞,灵魂CV 守望先锋 逗川我就服你 恋爱先锋 关爱空巢逗川 B站薛之谦 UP主真是个人才 逗川 UP主是个人才 这破站我就服你 这破站就我服你 ,游戏
41,【视角姬】VR当厨师，吔我黑暗料理啦！,62446,http://www.bilibili.com/video/av6384805,84606,2089,单机联机,VR游戏 VR Job Simulator 四脚鸡 HTCVIVE 不误正业系列 ,游戏
42,主播炸了119：德云色萌萌套路送货上门 求婚过后现场激情,61194,http://www.bilibili.com/video/av6387783,73299,559,网游·电竞,逗比主播 英雄联盟 LOL ,游戏
43,笑笑西卡德云色 16.9.23 学识丰富的主播,60587,http://www.bilibili.com/video/av6390846,64581,2354,网游·电竞,LOL 西卡 笑笑 直播 英雄联盟 德云色 游戏直播 ,游戏
44,【黑桐丧尸的谷歌围城】视频攻略 03,58048,http://www.bilibili.com/video/av6380834,107836,2982,单机联机,PS4 黑桐谷歌 良心字幕 丧尸围城 割草围城 享受健康生活 杀丧尸哪有救人好玩 无双围城 下饭围城 割草无双 日番谷歌 ,游戏
45,你玩过手机版的守望先锋吗？,57175,http://www.bilibili.com/video/av6370833,65041,1042,网游·电竞,守望先锋 OVERWATCH 守望先锋 手游 手机版守望先锋 狄克 守望先锋搞笑视频 守望先锋集锦 守望先锋视频 手机版 ,游戏
46,不要！去了去了！这支守望先锋MV快燃爆了！,57077,http://www.bilibili.com/video/av6322588,128194,757,GMV,超时空要塞 网络游戏 守望先锋 混剪 GMV 燃向 封面党の胜利 超燃 ,游戏
47,狼人沃維克未來的重做設計 - LoL英雄聯盟,52614,http://www.bilibili.com/video/av6353200,102873,497,网游·电竞,英雄联盟 LOL ,游戏
48,[新游视玩]要跟守望屁股杠上的《枪火游侠》,51706,http://www.bilibili.com/video/av6373755,67016,875,网游·电竞,腾讯 测评 评测 试玩 企鹅 守望先锋 游戏 枪火游侠 新游视玩 新游戏 ,游戏
49,Steam国区总销量最高的十款游戏【SteamTop10】,50020,http://www.bilibili.com/video/av6397071,75600,2130,单机联机,黎明杀机 CSGO GMOD L4D2 文明5 GTA5 泰拉瑞亚 收获日2 饥荒 饥荒合作版 ,游戏
50,【山下医院2】Q君回来了！当然要玩恐怖游戏！山下医院续作《山下医院2》，还是原来的配方，还是熟悉的味道。,49995,http://www.bilibili.com/video/av6370115,184913,5964,单机联机,三河宏辅 山下智博 耻辱 Q君 恐怖游戏 Q君PLAY STATION 亮点是山下的旁白 35分43秒的人生 游戏区的耻辱233 ,游戏
