,title,com_score,link,play,count,sub_subject,label,main_subject
0,【排骨】身骑白马（纯女声）,783157,http://www.bilibili.com/video/av6386091,0,0,翻唱,排骨教主 排骨女神 国人女声 徐佳莹 闽南语 咱是白马 一大波王宝钏即将到达战场 骨妹上线 Mr.鱼 我的女神是男神系列 薛平贵与王宝钏 身骑白马 ,音乐
1,【洛天依原创】Kill My Emotion,602090,http://www.bilibili.com/video/av6376469,212328,1809,VOCALOID·UTAU,VOCALOID中文曲 失踪人口回归 洛天依原创曲 JUSF周存 洛天依 Kill me組曲 Sya ,音乐
2,【そらる×まふまふ】前前前世【「你的名字。」主题曲】,499625,http://www.bilibili.com/video/av6384332,172408,3322,翻唱,そらる×まふまふ まふまふ RADWIMPS そらる soramafu After the Rain 前前前世 君の名は。 ,音乐
3,寒衫浮梦-【双笙】,425322,http://www.bilibili.com/video/av6394598,147178,1753,原创音乐,双笙 原创 ,音乐
4,【哦漏】先锋,412984,http://www.bilibili.com/video/av6384795,215532,2309,翻唱,高音漏 守望先锋 燃曲向 哦漏 先锋 开口跪 www.ysgou.cc 影视狗 师父保护协会发来抗议 男神漏 这个世界需要英雄 攻一脸 ,音乐
5,【赤ティン】前前前世【君の名は。】,292433,http://www.bilibili.com/video/av6364165,0,4825,翻唱,赤ティン 君の名前。 sm29691055 akatin 前前前世 君の名は。 君の名は 你的名字 美如画 本尊 本尊投稿 ,音乐
6,【琵琶】极乐净土,261490,http://www.bilibili.com/video/av6375904,164606,2214,演奏,极乐净土 琵琶 血洗B站 ,音乐
7,【鬼畜新素材】洗脑神曲三分钟解读iphone7,232743,http://www.bilibili.com/video/av6383251,196460,2999,三次元音乐,暴走大事件 暴走出品 暴走漫画 原创 全场最佳二胡手 廖佳琳 官方鬼畜 完全忘记原曲系列 ,音乐
8, 【萧忆情&哦漏】剑心飞扬 两个声嘶力竭的男人！,205483,http://www.bilibili.com/video/av6418019,77171,4179,翻唱,铁打的曾经 马振桓 仙儿 哦漏QAQ 哦漏 萧忆情 萧忆情Alex 剑心飞扬 熊梓淇 刺客列传 打铁的曾经 仙儿我的嫁 ,音乐
9,【超时空要塞 Δ】Walküre -「Walküre Trap!」專輯完整版,189920,http://www.bilibili.com/video/av6396593,74745,1845,OP/ED/OST,铃木みのり 铃木实里 东山奈央 快扶我去 超时空要塞 Δ Walküre 马三角 JUNNA 西田望见 二专 安野希世乃 ,音乐
10,【乐正绫原创】社会之敌（PV付）,185625,http://www.bilibili.com/video/av6381127,41965,890,VOCALOID·UTAU,VOCALOID原创曲 VOCALOID中文曲 乐正绫 原创曲 良调教 av6423505 ,音乐
11,【顾离】斗战胜佛 超燃！！！（华夏英雄填翻） &lt;大圣归来&gt;自制混剪PV,183157,http://www.bilibili.com/video/av6366129,0,1403,翻唱,燃曲 攻音翻唱 填词翻唱 斗战胜佛 满汉全席 大圣归来 40109 满汉全席音乐团队 燃向 ,音乐
12,16err翻唱【用虎视眈眈打开极乐净土】,178197,http://www.bilibili.com/video/av6373519,62865,601,翻唱,极乐净土 虎视眈眈 極樂淨土 虎视眈々GUITAR VER 收藏比弹幕多系列 ,音乐
13,【泠鸢·自制PV】虹の向かい側-如果的世界-,171219,http://www.bilibili.com/video/av6384826,154765,514,翻唱,泠鸢YOUSA 辣条~ 如果的世界 儿歌王 ,音乐
14,【魔道祖师】同道殊途【豪华人声版】,131092,http://www.bilibili.com/video/av6235951,621100,97868,原创音乐,墨香铜臭 魔道祖师 失踪人口回归 括号君 全员豪华阵容 litterzy 跪下唱征服系列 我要这硬币有何用 跪听 刀子雨 ,音乐
15,【靖菌】微微一笑很倾♂城（相信我，2P是正经向）,118083,http://www.bilibili.com/video/av6394879,69130,616,翻唱,靖菌 微微一笑很倾城 鬼畜 ,音乐
16,【琵琶】凶残燃爆版《unravel》东京喰种音乐 金木研热血精分向,98445,http://www.bilibili.com/video/av6359472,94080,1937,演奏,东京食尸鬼 动漫音乐 琵琶 民乐 动漫 东京食种unravel unravel 东京食种 金木研 东京食种 琵琶独奏 ,音乐
