,title,com_score,link,play,count,sub_subject,label,main_subject
0,【美食】吃在江苏,307276,http://www.bilibili.com/video/av6336441,130849,13260,纪录片,BILIBILI正版 美食 江苏 ,科技
1,地球上最活跃的金属-铯,211968,http://www.bilibili.com/video/av6377404,205910,1176,趣味科普人文,化学元素 ,科技
2,纳粹二战工程【全6集】,207727,http://www.bilibili.com/video/av6370901,78465,2616,纪录片,科技 高清 德国 历史 军工 第二次世界大战 人文 国家地理 军事 纪录片 合集 纳粹 ,科技
3,【军榜】为何解放军狙击手精准度比特警低好多,169206,http://www.bilibili.com/video/av6364673,227330,893,星海,军事 狙击手 解放军 美军 装备 特警 ,科技
4,中国人眼中再普通不过的画面，在外国人看来可不一样,142165,http://www.bilibili.com/video/av6388440,149308,1437,趣味科普人文,YOUTUBE 工程 高铁 国际友人 撕逼大战 三个自信 基础建设 外国月亮 建设 评论 龙腾 屏蔽列表大丰收 ,科技
5,【大蜡烛】用VR设备看蕾姆跳极乐净土~嘿嘿嘿,137928,http://www.bilibili.com/video/av6385782,131664,2193,数码,极乐净土 VR体验 3D建模 VR MMD VRMMD 大蜡烛 蕾姆 HTC VIVE 虚拟现实 伪娘音 VR设备 ,科技
6,【历史上五大禁播的动画片】5 Darkest Banned Kids Shows & Cartoons,135443,http://www.bilibili.com/video/av6339181,170148,1843,趣味科普人文,MY LITTLE PONY 没有HCF吗 Dark 5 扯淡5系列 五大 动画片 禁播 中字 ,科技
7,地上挖个坑就有鱼？ 看柬埔寨人用独创的方法來捉鱼。。。。。,127769,http://www.bilibili.com/video/av6362253,205357,3286,趣味科普人文,我不信！我不信！我不信！ 挖坑就是不填系列 野外生存 ,科技
8,全世界8个最大的身体各部位，你有那么大吗？！,124042,http://www.bilibili.com/video/av6344572,232499,3021,趣味科普人文,科普 身体变异 奇异 ,科技
9,【生肉】冷知识 10件你可能不清楚怎么用的物品：衬衣后领挂耳、笔记本磁屏环、飞机窗玻璃呼吸孔等,122803,http://www.bilibili.com/video/av6372968,101738,446,趣味科普人文,Facts Verse YouTube 没字幕看个毛 ,科技
10,玩熔岩的疯狂集锦,101825,http://www.bilibili.com/video/av6355823,0,1310,趣味科普人文,作死向 人被杀就会死 熔岩 ,科技
11,Emma Watson关于平权问题在联合国的最新演讲 @柚子木字幕组,101776,http://www.bilibili.com/video/av6382494,75254,594,演讲?公开课,联合国 YOUTUBE 女权 难民 柚子木字幕组 艾玛沃特森 女尊 演讲 反田园 平权 人权 特权 ,科技
12,【全程护眼】如果铁线虫反钻螳螂。,100747,http://www.bilibili.com/video/av6354472,132870,402,趣味科普人文,细思极恐 科普 铁线虫 螳螂 ,科技
13,【作死物理小讲堂】深入浅出超电磁炮 轨道炮Railgun的电磁学原理 @FPS罗兹 灵魂字幕,97514,http://www.bilibili.com/video/av6403368,0,1460,趣味科普人文,伊朗唐马儒 作死物理 鬼畜 右手定则之舞 竟然还活着 秦流感 轨道炮 RAILGUN ELECTROBOOM ,科技
